date,hour,gmv
2017-01-01,0,111278.0
2017-01-01,1,88291.0
2017-01-01,2,40808.0
2017-01-01,3,26895.0
2017-01-01,4,5930.0
2017-01-01,5,699.0
2017-01-01,6,9481.0
2017-01-01,7,33713.0
2017-01-01,8,50103.0
2017-01-01,9,64628.0
2017-01-01,10,97729.0
2017-01-01,11,142036.0
2017-01-01,12,143509.0
2017-01-01,13,137936.0
2017-01-01,14,146201.0
2017-01-01,15,148133.0
2017-01-01,16,180595.0
2017-01-01,17,183177.0
2017-01-01,18,141799.0
2017-01-01,19,183299.0
2017-01-01,20,129731.0
2017-01-01,21,138473.0
2017-01-01,22,174259.0
2017-01-01,23,197979.0
2017-01-02,0,141989.0
2017-01-02,1,56702.0
2017-01-02,2,29831.0
2017-01-02,3,32676.0
2017-01-02,4,8156.0
2017-01-02,5,3579.0
2017-01-02,6,4737.0
2017-01-02,7,62263.0
2017-01-02,8,67783.0
2017-01-02,9,129474.0
2017-01-02,10,176417.0
2017-01-02,11,187646.0
2017-01-02,12,246691.0
2017-01-02,13,205176.0
2017-01-02,14,257714.0
2017-01-02,15,223530.0
2017-01-02,16,245648.0
2017-01-02,17,221669.0
2017-01-02,18,209490.0
2017-01-02,19,145493.0
2017-01-02,20,200694.0
2017-01-02,21,193206.0
2017-01-02,22,260352.0
2017-01-02,23,245486.0
2017-01-03,0,182910.0
2017-01-03,1,111083.0
2017-01-03,2,46932.0
2017-01-03,3,28547.0
2017-01-03,4,9449.0
2017-01-03,5,16658.0
2017-01-03,6,19500.0
2017-01-03,7,39375.0
2017-01-03,8,105384.0
2017-01-03,9,140853.0
2017-01-03,10,289180.0
2017-01-03,11,252348.0
2017-01-03,12,284240.0
2017-01-03,13,257224.0
2017-01-03,14,291123.0
2017-01-03,15,301135.0
2017-01-03,16,300397.0
2017-01-03,17,256148.0
2017-01-03,18,161878.0
2017-01-03,19,199199.0
2017-01-03,20,227936.0
2017-01-03,21,235342.0
2017-01-03,22,285412.0
2017-01-03,23,323811.0
2017-01-04,0,191381.0
2017-01-04,1,96572.0
2017-01-04,2,45802.0
2017-01-04,3,32765.0
2017-01-04,4,14306.0
2017-01-04,5,16385.0
2017-01-04,6,24434.0
2017-01-04,7,100002.0
2017-01-04,8,167155.0
2017-01-04,9,207530.0
2017-01-04,10,259575.0
2017-01-04,11,289271.0
2017-01-04,12,305413.0
2017-01-04,13,228638.0
2017-01-04,14,302727.0
2017-01-04,15,333190.0
2017-01-04,16,347253.0
2017-01-04,17,242689.0
2017-01-04,18,210325.0
2017-01-04,19,195444.0
2017-01-04,20,200345.0
2017-01-04,21,225965.0
2017-01-04,22,319819.0
2017-01-04,23,267469.0
2017-01-05,0,207371.0
2017-01-05,1,116914.0
2017-01-05,2,38036.0
2017-01-05,3,8290.0
2017-01-05,4,13402.0
2017-01-05,5,15963.0
2017-01-05,6,33662.0
2017-01-05,7,40946.0
2017-01-05,8,128684.0
2017-01-05,9,204255.0
2017-01-05,10,243099.0
2017-01-05,11,323287.0
2017-01-05,12,291759.0
2017-01-05,13,301306.0
2017-01-05,14,294405.0
2017-01-05,15,299019.0
2017-01-05,16,273509.4
2017-01-05,17,270941.4
2017-01-05,18,199641.0
2017-01-05,19,255775.0
2017-01-05,20,219405.0
2017-01-05,21,283438.0
2017-01-05,22,236793.0
2017-01-05,23,342351.0
2017-01-06,0,175038.0
2017-01-06,1,84575.0
2017-01-06,2,47033.0
2017-01-06,3,22978.0
2017-01-06,4,19814.0
2017-01-06,5,23240.0
2017-01-06,6,24366.0
2017-01-06,7,56245.0
2017-01-06,8,113224.0
2017-01-06,9,196946.0
2017-01-06,10,256821.0
2017-01-06,11,244624.0
2017-01-06,12,288071.0
2017-01-06,13,257598.0
2017-01-06,14,318285.0
2017-01-06,15,272875.0
2017-01-06,16,280744.0
2017-01-06,17,237711.0
2017-01-06,18,186889.0
2017-01-06,19,172430.0
2017-01-06,20,197764.0
2017-01-06,21,212232.0
2017-01-06,22,261108.0
2017-01-06,23,286659.0
2017-01-07,0,244565.0
2017-01-07,1,134170.0
2017-01-07,2,56463.0
2017-01-07,3,26231.0
2017-01-07,4,16041.0
2017-01-07,5,18097.0
2017-01-07,6,34280.0
2017-01-07,7,73671.0
2017-01-07,8,112515.0
2017-01-07,9,146212.0
2017-01-07,10,242059.0
2017-01-07,11,229280.0
2017-01-07,12,265980.0
2017-01-07,13,275836.0
2017-01-07,14,275480.0
2017-01-07,15,287170.0
2017-01-07,16,239233.0
2017-01-07,17,226808.0
2017-01-07,18,175757.0
2017-01-07,19,183359.0
2017-01-07,20,189830.0
2017-01-07,21,388643.0
2017-01-07,22,435363.0
2017-01-07,23,440173.0
2017-01-08,0,436345.0
2017-01-08,1,350080.0
2017-01-08,2,167097.0
2017-01-08,3,51918.0
2017-01-08,4,34430.0
2017-01-08,5,18510.0
2017-01-08,6,34934.0
2017-01-08,7,83546.0
2017-01-08,8,153448.0
2017-01-08,9,179624.0
2017-01-08,10,260031.0
2017-01-08,11,252851.0
2017-01-08,12,296684.0
2017-01-08,13,270653.0
2017-01-08,14,214408.0
2017-01-08,15,291588.0
2017-01-08,16,247919.0
2017-01-08,17,180330.0
2017-01-08,18,215315.0
2017-01-08,19,172890.0
2017-01-08,20,190257.0
2017-01-08,21,224438.0
2017-01-08,22,430264.0
2017-01-08,23,412250.0
2017-01-09,0,210659.0
2017-01-09,1,116115.0
2017-01-09,2,63566.0
2017-01-09,3,22467.0
2017-01-09,4,18609.0
2017-01-09,5,7579.0
2017-01-09,6,59529.0
2017-01-09,7,61259.0
2017-01-09,8,126326.0
2017-01-09,9,132170.0
2017-01-09,10,257182.0
2017-01-09,11,252114.0
2017-01-09,12,230895.0
2017-01-09,13,252386.0
2017-01-09,14,260667.0
2017-01-09,15,276341.0
2017-01-09,16,264419.0
2017-01-09,17,266505.0
2017-01-09,18,189357.0
2017-01-09,19,166906.0
2017-01-09,20,204066.0
2017-01-09,21,198777.0
2017-01-09,22,327832.0
2017-01-09,23,367137.0
2017-01-10,0,207117.0
2017-01-10,1,95891.0
2017-01-10,2,28672.0
2017-01-10,3,23695.0
2017-01-10,4,19201.0
2017-01-10,5,5305.0
2017-01-10,6,19491.0
2017-01-10,7,68821.0
2017-01-10,8,114252.0
2017-01-10,9,148263.0
2017-01-10,10,268577.0
2017-01-10,11,253098.0
2017-01-10,12,291575.0
2017-01-10,13,241370.0
2017-01-10,14,243115.0
2017-01-10,15,268570.0
2017-01-10,16,275146.0
2017-01-10,17,207309.0
2017-01-10,18,178572.0
2017-01-10,19,190007.0
2017-01-10,20,249478.0
2017-01-10,21,266149.0
2017-01-10,22,224157.0
2017-01-10,23,288700.0
2017-01-11,0,172340.0
2017-01-11,1,94230.0
2017-01-11,2,26904.0
2017-01-11,3,10120.0
